RNA023479,RNA023491,RNA023504,RNA023506,RNA023520,RNA023514,RNA023523,RNA023526,RNA023534,RNA023539,RNA023540,RNA023545,RNA023550,RNA023551,RNA023553,RNA023555,RNA023556,RNA023559,RNA023561,RNA023562,RNA023567,RNA023568,RNA023572,RNA023573,RNA023575,RNA023581,RNA023585,RNA023587,RNA023593,RNA023594,RNA023596,RNA023603,RNA023605,RNA023614,RNA023616,RNA023617,RNA023618,RNA023619,RNA023521,RNA022818,RNA022822,RNA022824,RNA022832,RNA022836,RNA022838,RNA022852,RNA022853,RNA022855,RNA022854,RNA022860,RNA022867,RNA022871,RNA022880,RNA022883,RNA022885,RNA022887,RNA022904,RNA022906,RNA022911,RNA022915,RNA022921,RNA022923,RNA022925,RNA022946,RNA022948,RNA022956,RNA022972,RNA022975,RNA022981,RNA022987,RNA022992,RNA022993,RNA022995,RNA023001,RNA023024,RNA023027,RNA023049,RNA023058,RNA023066,RNA023068,RNA023071,RNA023078,RNA023080,RNA023087,RNA023092,RNA023099,RNA023117,RNA023129,RNA023131,RNA023134,RNA023138,RNA023143,RNA023146,RNA023152,RNA023153,RNA023167,RNA023170,RNA023174,RNA023176,RNA023179,RNA023185,RNA023190,RNA023198,RNA023199,RNA023200,RNA023203,RNA023208,RNA023209,RNA023222,RNA023225,RNA023227,RNA023226,RNA023229,RNA023239,RNA023242,RNA023267,RNA023269,RNA023275,RNA023282,RNA023284,RNA023285,RNA023286,RNA023141,RNA023098,RNA023169,RNA023403,RNA023404,RNA023405,RNA023407,RNA023409,RNA023410,RNA023331,RNA023299,RNA023411,RNA023337,RNA023339,RNA023341,RNA023345,RNA023351,RNA023414,RNA023355,RNA023357,RNA023416,RNA023418,RNA023361,RNA023363,RNA023423,RNA023367,RNA023425,RNA023371,RNA023432,RNA023435,RNA023436,RNA023438,RNA023442,RNA023448,RNA023450,RNA023451,RNA023454,RNA023457,RNA023458,RNA023465,RNA023466,RNA023467,RNA023468,RNA023470,RNA023399,RNA023473,RNA023474,RNA023632,RNA023637,RNA023638,RNA023642,RNA023643
,,SNRPA1,,,,,PLA2G2A,,,,,,,SLC36A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SESN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTPN,,STK38,,,,,,,,,,,,SKAP2,,,,,,,,,,,,,,,,,,,,,,,,TAB3,SBF2,,,SPG21,,,,,,,,,SYPL1,,,,,,,,,,,,,TFDP2,,,,TOMM22,,MAD2L2,,,,,,,,,,,,,,,,,,,YIPF4,,,,,
,,SNRPN,,,,,PLA2G4A,,,,,,,SLC37A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SESN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTR,,STK38L,,,,,,,,,,,,SKIL,,,,,,,,,,,,,,,,,,,,,,,,TACC1,SBNO1,,,SPHK1,,,,,,,,,SYT11,,,,,,,,,,,,,TFE3,,,,TOMM7,,MADD,,,,,,,,,,,,,,,,,,,YLPM1,,,,,
,,SNTB2,,,,,PLA2G4C,,,,,,,SLC38A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SESTD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTREX,,STK39,,,,,,,,,,,,SLA,,,,,,,,,,,,,,,,,,,,,,,,TACC2,SCAF4,,,SPHK2,,,,,,,,,SYTL3,,,,,,,,,,,,,TFEB,,,,TOPORS,,MAEA,,,,,,,,,,,,,,,,,,,YOD1,,,,,
,,SNU13,,,,,PLA2G6,,,,,,,SLC38A10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETBP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTRF1,,STK4,,,,,,,,,,,,SLA2,,,,,,,,,,,,,,,,,,,,,,,,TADA2A,SCAF8,,,SPI1,,,,,,,,,SYTL4,,,,,,,,,,,,,TFEC,,,,TOR1A,,MAF,,,,,,,,,,,,,,,,,,,YPEL1,,,,,
,,SNX10,,,,,PLA2R1,,,,,,,SLC38A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETD1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTRF1L,,STK40,,,,,,,,,,,,SLAIN2,,,,,,,,,,,,,,,,,,,,,,,,TADA3,SCAMP4,,,SPIB,,,,,,,,,SYVN1,,,,,,,,,,,,,TFG,,,,TP53I11,,MAF1,,,,,,,,,,,,,,,,,,,YPEL2,,,,,
,,SNX12,,,,,PLAA,,,,,,,SLC38A9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETD1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTRR,,STMN1,,,,,,,,,,,,SLBP,,,,,,,,,,,,,,,,,,,,,,,,TAF1,SCAND2P,,,SPIDR,,,,,,,,,SZRD1,,,,,,,,,,,,,TFIP11,,,,TP53INP1,,MAFB,,,,,,,,,,,,,,,,,,,YPEL5,,,,,
,,SNX14,,,,,PLAC8,,,,,,,SLC39A10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTSS1,,STMP1,,,,,,,,,,,,SLC10A3,,,,,,,,,,,,,,,,,,,,,,,,TAF10,SCARB2,,,SPIN1,,,,,,,,,TAB3,,,,,,,,,,,,,TFPI,,,,TP53INP2,,MAFG,,,,,,,,,,,,,,,,,,,YWHAH,,,,,
,,SNX18,,,,,PLAG1,,,,,,,SLC39A13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTURN,,STOM,,,,,,,,,,,,SLC10A7,,,,,,,,,,,,,,,,,,,,,,,,TAF11,SCCPDH,,,SPIN2B,,,,,,,,,TACC1,,,,,,,,,,,,,TFRC,,,,TP53RK,,MAFK,,,,,,,,,,,,,,,,,,,YWHAQ,,,,,
,,SNX2,,,,,PLAGL2,,,,,,,SLC39A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETD7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTUS1,,STON1,,,,,,,,,,,,SLC12A6,,,,,,,,,,,,,,,,,,,,,,,,TAF12,SCD,,,SPIN3,,,,,,,,,TACC3,,,,,,,,,,,,,TGFB1I1,,,,TP53TG1,,MAGED2,,,,,,,,,,,,,,,,,,,YY1AP1,,,,,
,,SNX20,,,,,PLB1,,,,,,,SLC39A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETDB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTX1,,STPG1,,,,,,,,,,,,SLC12A9,,,,,,,,,,,,,,,,,,,,,,,,TAF13,SCFD2,,,SPINT2,,,,,,,,,TADA2B,,,,,,,,,,,,,TGFB2,,,,TP63,,MAGEF1,,,,,,,,,,,,,,,,,,,ZBED4,,,,,
,,SNX25,,,,,PLCB1,,,,,,,SLC39A8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF3A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTX2,,STRADA,,,,,,,,,,,,SLC14A1,,,,,,,,,,,,,,,,,,,,,,,,TAF1D,SCGB3A1,,,SPNS3,,,,,,,,,TADA3,,,,,,,,,,,,,TGFBR1,,,,TPCN1,,MAGI1,,,,,,,,,,,,,,,,,,,ZBTB1,,,,,
,,SNX27,,,,,PLCB2,,,,,,,SLC39A9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF3A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTX3,,STRADB,,,,,,,,,,,,SLC16A10,,,,,,,,,,,,,,,,,,,,,,,,TAF2,SCIMP,,,SPOCD1,,,,,,,,,TAF1,,,,,,,,,,,,,TGFBRAP1,,,,TPD52,,MAGI2,,,,,,,,,,,,,,,,,,,ZBTB10,,,,,
,,SNX29,,,,,PLCB3,,,,,,,SLC3A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF3A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUC15,,STRAP,,,,,,,,,,,,SLC16A3,,,,,,,,,,,,,,,,,,,,,,,,TAF3,SCLT1,,,SPPL2B,,,,,,,,,TAF10,,,,,,,,,,,,,TGM2,,,,TPD52L1,,MAGI3,,,,,,,,,,,,,,,,,,,ZBTB14,,,,,
,,SNX3,,,,,PLCB4,,,,,,,SLC40A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF3B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUC2,,STRN,,,,,,,,,,,,SLC16A6,,,,,,,,,,,,,,,,,,,,,,,,TAF4B,SCLY,,,SPPL3,,,,,,,,,TAF11,,,,,,,,,,,,,TGS1,,,,TPGS2,,MAGIX,,,,,,,,,,,,,,,,,,,ZBTB17,,,,,
,,SNX30,,,,,PLCG1,,,,,,,SLC41A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUC3A,,STRN3,,,,,,,,,,,,SLC16A7,,,,,,,,,,,,,,,,,,,,,,,,TAF5,SCMH1,,,SPRR2D,,,,,,,,,TAF13,,,,,,,,,,,,,THAP1,,,,TPI1,,MAK16,,,,,,,,,,,,,,,,,,,ZBTB18,,,,,
,,SNX5,,,,,PLCG2,,,,,,,SLC44A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUC5AC,,STRN4,,,,,,,,,,,,SLC16A9,,,,,,,,,,,,,,,,,,,,,,,,TAGAP,SCN1B,,,SPRTN,,,,,,,,,TAF1B,,,,,,,,,,,,,THAP11,,,,TPK1,,MAL,,,,,,,,,,,,,,,,,,,ZBTB21,,,,,
,,SNX8,,,,,PLCL2,,,,,,,SLC44A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFRP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUS81,,STT3A,,,,,,,,,,,,SLC17A4,,,,,,,,,,,,,,,,,,,,,,,,TAL1,SCN3A,,,SPRYD3,,,,,,,,,TAF1C,,,,,,,,,,,,,THAP12,,,,TPM3,,MALINC1,,,,,,,,,,,,,,,,,,,ZBTB24,,,,,
,,SNX9,,,,,PLD1,,,,,,,SLC46A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFT2D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MVB12B,,STX17,,,,,,,,,,,,SLC18A2,,,,,,,,,,,,,,,,,,,,,,,,TALDO1,SCN7A,,,SPRYD7,,,,,,,,,TAF1D,,,,,,,,,,,,,THAP12P7,,,,TPP1,,MALL,,,,,,,,,,,,,,,,,,,ZBTB40,,,,,
,,SOAT1,,,,,PLD2,,,,,,,SLC49A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFXN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MVD,,STX1A,,,,,,,,,,,,SLC1A5,,,,,,,,,,,,,,,,,,,,,,,,TAMM41,SCNN1A,,,SPTAN1,,,,,,,,,TAF4,,,,,,,,,,,,,THAP4,,,,TPST2,,MALSU1,,,,,,,,,,,,,,,,,,,ZBTB43,,,,,
,,SOCS4,,,,,PLD3,,,,,,,SLC4A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFXN5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MVP,,STX3,,,,,,,,,,,,SLC22A15,,,,,,,,,,,,,,,,,,,,,,,,TANGO2,SCO1,,,SPTB,,,,,,,,,TAF5L,,,,,,,,,,,,,THAP6,,,,TRAC,,MALT1,,,,,,,,,,,,,,,,,,,ZBTB44,,,,,
,,SOCS7,,,,,PLD4,,,,,,,SLC4A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SGCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MX1,,STX5,,,,,,,,,,,,SLC22A23,,,,,,,,,,,,,,,,,,,,,,,,TANK,SCPEP1,,,SPTBN1,,,,,,,,,TAGAP,,,,,,,,,,,,,THBS2,,,,TRADD,,MAML1,,,,,,,,,,,,,,,,,,,ZBTB48,,,,,
,,SORBS3,,,,,PLEC,,,,,,,SLC4A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SGK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MXD3,,STX6,,,,,,,,,,,,SLC22A7,,,,,,,,,,,,,,,,,,,,,,,,TAOK3,SCRN1,,,SPTLC2,,,,,,,,,TAL1,,,,,,,,,,,,,THEMIS2,,,,TRAF3,,MAML2,,,,,,,,,,,,,,,,,,,ZBTB7B,,,,,
,,SORT1,,,,,PLEK,,,,,,,SLC4A7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SGMS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MXD4,,STX7,,,,,,,,,,,,SLC23A2,,,,,,,,,,,,,,,,,,,,,,,,TAPT1,SCRN2,,,SPTLC3,,,,,,,,,TALDO1,,,,,,,,,,,,,THNSL1,,,,TRAF3IP1,,MAML3,,,,,,,,,,,,,,,,,,,ZBTB7C,,,,,
,,SOS2,,,,,PLEKHA1,,,,,,,SLC6A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SGMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MXI1,,STXBP2,,,,,,,,,,,,SLC24A1,,,,,,,,,,,,,,,,,,,,,,,,TARBP1,SCYL2,,,SPX,,,,,,,,,TAMM41,,,,,,,,,,,,,THOC1,,,,TRAK1,,MAMSTR,,,,,,,,,,,,,,,,,,,ZC3H12B,,,,,
,,SOSTDC1,,,,,PLEKHA2,,,,,,,SLC7A6OS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SGO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYB,,STYX,,,,,,,,,,,,SLC24A3,,,,,,,,,,,,,,,,,,,,,,,,TASOR,SDAD1,,,SQOR,,,,,,,,,TAOK3,,,,,,,,,,,,,THOC2,,,,TRAK2,,MAN1A1,,,,,,,,,,,,,,,,,,,ZC3H12C,,,,,
,,SOWAHC,,,,,PLEKHA4,,,,,,,SLC7A7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SGPP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYBBP1A,,SUB1,,,,,,,,,,,,SLC25A11,,,,,,,,,,,,,,,,,,,,,,,,TASOR2,SDC3,,,SQSTM1,,,,,,,,,TAPT1,,,,,,,,,,,,,THOC5,,,,TRANK1,,MAN1B1,,,,,,,,,,,,,,,,,,,ZC3H3,,,,,
,,SOX17,,,,,PLEKHA5,,,,,,,SLC8A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH2B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYCBP,,SUCLG1,,,,,,,,,,,,SLC25A13,,,,,,,,,,,,,,,,,,,,,,,,TASP1,SDC4,,,SRBD1,,,,,,,,,TARS2,,,,,,,,,,,,,THOP1,,,,TRAPPC1,,MAN2A1,,,,,,,,,,,,,,,,,,,ZC3H6,,,,,
,,SOX4,,,,,PLEKHA8,,,,,,,SLC9A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH2D2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYCBP2,,SUCLG2,,,,,,,,,,,,SLC25A16,,,,,,,,,,,,,,,,,,,,,,,,TAX1BP3,SDCBP,,,SRC,,,,,,,,,TASOR,,,,,,,,,,,,,THRA,,,,TRAPPC11,,MAN2A2,,,,,,,,,,,,,,,,,,,ZC3H7A,,,,,
,,SOX6,,,,,PLEKHA8P1,,,,,,,SLC9A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH2D3A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYCT1,,SUCNR1,,,,,,,,,,,,SLC25A20,,,,,,,,,,,,,,,,,,,,,,,,TBC1D1,SDE2,,,SREBF2,,,,,,,,,TASOR2,,,,,,,,,,,,,THUMPD1,,,,TRAPPC2L,,MAN2B1,,,,,,,,,,,,,,,,,,,ZC3H7B,,,,,
,,SOX7,,,,,PLEKHB1,,,,,,,SLC9A8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH2D3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYDGF,,SUCO,,,,,,,,,,,,SLC25A21,,,,,,,,,,,,,,,,,,,,,,,,TBC1D10B,SDF2L1,,,SRF,,,,,,,,,TAX1BP3,,,,,,,,,,,,,THUMPD2,,,,TRAPPC4,,MAN2C1,,,,,,,,,,,,,,,,,,,ZC3H8,,,,,
,,SP1,,,,,PLEKHB2,,,,,,,SLCO2A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH3BGRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYEF2,,SUDS3,,,,,,,,,,,,SLC25A37,,,,,,,,,,,,,,,,,,,,,,,,TBC1D12,SDHAF1,,,SRGAP1,,,,,,,,,TBC1D1,,,,,,,,,,,,,THUMPD3,,,,TRAPPC8,,MANBAL,,,,,,,,,,,,,,,,,,,ZC3HAV1,,,,,
,,SP100,,,,,PLEKHF1,,,,,,,SLCO3A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH3BGRL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYH10,,SUFU,,,,,,,,,,,,SLC25A39,,,,,,,,,,,,,,,,,,,,,,,,TBC1D13,SDHAF2,,,SRGAP2C,,,,,,,,,TBC1D10B,,,,,,,,,,,,,TIA1,,,,TRAT1,,MANEA,,,,,,,,,,,,,,,,,,,ZC3HC1,,,,,
,,SP110,,,,,PLEKHF2,,,,,,,SLFN11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH3BGRL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYH14,,SUGP2,,,,,,,,,,,,SLC25A45,,,,,,,,,,,,,,,,,,,,,,,,TBC1D14,SDHD,,,SRGN,,,,,,,,,TBC1D10C,,,,,,,,,,,,,TIAM1,,,,TRBC1,,MANEAL,,,,,,,,,,,,,,,,,,,ZCCHC14,,,,,
,,SP140,,,,,PLEKHG1,,,,,,,SLFN13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH3BP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYH6,,SULF1,,,,,,,,,,,,SLC27A4,,,,,,,,,,,,,,,,,,,,,,,,TBC1D16,SDR39U1,,,SRM,,,,,,,,,TBC1D12,,,,,,,,,,,,,TICRR,,,,TREM1,,MANSC1,,,,,,,,,,,,,,,,,,,ZCCHC17,,,,,
,,SP2,,,,,PLEKHG2,,,,,,,SLFN5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH3BP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYH9,,SULT1A1,,,,,,,,,,,,SLC29A1,,,,,,,,,,,,,,,,,,,,,,,,TBC1D17,SDR42E1,,,SRP19,,,,,,,,,TBC1D13,,,,,,,,,,,,,TIMELESS,,,,TREML1,,MAOB,,,,,,,,,,,,,,,,,,,ZCCHC2,,,,,
,,SP4,,,,,PLEKHG3,,,,,,,SLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH3BP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYL4,,SUMF2,,,,,,,,,,,,SLC2A1,,,,,,,,,,,,,,,,,,,,,,,,TBC1D19,SDS,,,SRP68,,,,,,,,,TBC1D14,,,,,,,,,,,,,TIMM10B,,,,TRGC2,,MAP10,,,,,,,,,,,,,,,,,,,ZCCHC7,,,,,
,,SPAG5,,,,,PLEKHG4,,,,,,,SLMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH3GL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYL5,,SUMO3,,,,,,,,,,,,SLC2A13,,,,,,,,,,,,,,,,,,,,,,,,TBC1D20,SEC13,,,SRPK2,,,,,,,,,TBC1D20,,,,,,,,,,,,,TIMM23,,,,TRIB2,,MAP1A,,,,,,,,,,,,,,,,,,,ZCCHC8,,,,,
,,SPAG7,,,,,PLEKHJ1,,,,,,,SLPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH3GLB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYL6B,,SUN1,,,,,,,,,,,,SLC2A3,,,,,,,,,,,,,,,,,,,,,,,,TBC1D22A,SEC16A,,,SRRT,,,,,,,,,TBC1D24,,,,,,,,,,,,,TIMM50,,,,TRIM14,,MAP1LC3B,,,,,,,,,,,,,,,,,,,ZDBF2,,,,,
,,SPARCL1,,,,,PLEKHM2,,,,,,,SLX4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH3KBP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYLIP,,SUN2,,,,,,,,,,,,SLC2A4RG,,,,,,,,,,,,,,,,,,,,,,,,TBC1D31,SEC22A,,,SRSF1,,,,,,,,,TBC1D31,,,,,,,,,,,,,TIMM8B,,,,TRIM21,,MAP1LC3B2,,,,,,,,,,,,,,,,,,,ZDHHC12,,,,,
,,SPART,,,,,PLEKHN1,,,,,,,SMAD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH3PXD2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYLK,,SUPT20H,,,,,,,,,,,,SLC2A6,,,,,,,,,,,,,,,,,,,,,,,,TBC1D32,SEC22C,,,SRSF10,,,,,,,,,TBC1D32,,,,,,,,,,,,,TIMMDC1,,,,TRIM22,,MAP1S,,,,,,,,,,,,,,,,,,,ZDHHC18,,,,,
,,SPATA13,,,,,PLEKHO1,,,,,,,SMAD4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH3TC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYNN,,SUPT7L,,,,,,,,,,,,SLC30A4,,,,,,,,,,,,,,,,,,,,,,,,TBC1D5,SEC23A,,,SRSF8,,,,,,,,,TBC1D5,,,,,,,,,,,,,TINF2,,,,TRIM23,,MAP2K1,,,,,,,,,,,,,,,,,,,ZDHHC2,,,,,
,,SPATA20,,,,,PLEKHO2,,,,,,,SMAD7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH3YL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYO10,,SURF4,,,,,,,,,,,,SLC30A5,,,,,,,,,,,,,,,,,,,,,,,,TBC1D7,SEC23B,,,SS18,,,,,,,,,TBC1D7,,,,,,,,,,,,,TK2,,,,TRIM28,,MAP2K3,,,,,,,,,,,,,,,,,,,ZEB1,,,,,
,,SPATA2L,,,,,PLG,,,,,,,SMAP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHANK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYO18A,,SUSD1,,,,,,,,,,,,SLC30A6,,,,,,,,,,,,,,,,,,,,,,,,TBC1D8,SEC23IP,,,SSBP2,,,,,,,,,TBC1D8,,,,,,,,,,,,,TKT,,,,TRIM35,,MAP2K4,,,,,,,,,,,,,,,,,,,ZEB2,,,,,
,,SPATS2,,,,,PLGRKT,,,,,,,SMARCA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHANK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYO1B,,SUSD3,,,,,,,,,,,,SLC30A7,,,,,,,,,,,,,,,,,,,,,,,,TBC1D9,SEC24C,,,SSBP4,,,,,,,,,TBC1D9,,,,,,,,,,,,,TLE3,,,,TRIM37,,MAP2K5,,,,,,,,,,,,,,,,,,,ZER1,,,,,
,,SPC24,,,,,PLIN2,,,,,,,SMARCA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYO1C,,SVBP,,,,,,,,,,,,SLC31A2,,,,,,,,,,,,,,,,,,,,,,,,TBC1D9B,SECISBP2L,,,SSH1,,,,,,,,,TBC1D9B,,,,,,,,,,,,,TLE4,,,,TRIM5,,MAP2K6,,,,,,,,,,,,,,,,,,,ZFAND1,,,,,
,,SPDYC,,,,,PLIN3,,,,,,,SMARCAD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYO1D,,SVIL,,,,,,,,,,,,SLC35A3,,,,,,,,,,,,,,,,,,,,,,,,TBCE,SEH1L,,,SSH2,,,,,,,,,TBCEL,,,,,,,,,,,,,TLK1,,,,TRIM52,,MAP3K1,,,,,,,,,,,,,,,,,,,ZFAND2A,,,,,
,,SPECC1,,,,,PLK2,,,,,,,SMARCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYO1E,,SVIP,,,,,,,,,,,,SLC35A4,,,,,,,,,,,,,,,,,,,,,,,,TBCEL,SEL1L3,,,SSPN,,,,,,,,,TBCK,,,,,,,,,,,,,TLK2,,,,TRIM56,,MAP3K11,,,,,,,,,,,,,,,,,,,ZFAND3,,,,,
,,SPEF2,,,,,PLOD2,,,,,,,SMARCC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHCBP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYO1F,,SWAP70,,,,,,,,,,,,SLC35D2,,,,,,,,,,,,,,,,,,,,,,,,TBK1,SELENBP1,,,SSR3,,,,,,,,,TBL1X,,,,,,,,,,,,,TLN1,,,,TRIM58,,MAP3K12,,,,,,,,,,,,,,,,,,,ZFC3H1,,,,,
,,SPG11,,,,,PLP2,,,,,,,SMARCD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYO1G,,SYAP1,,,,,,,,,,,,SLC35E3,,,,,,,,,,,,,,,,,,,,,,,,TBP,SELENOH,,,SSR4,,,,,,,,,TBL3,,,,,,,,,,,,,TLR4,,,,TRIM8,,MAP3K13,,,,,,,,,,,,,,,,,,,ZFP62,,,,,
,,SPG21,,,,,PLPBP,,,,,,,SMARCE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHKBP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYO3A,,SYCN,,,,,,,,,,,,SLC35G1,,,,,,,,,,,,,,,,,,,,,,,,TBPL1,SELENOI,,,SSX2IP,,,,,,,,,TBPL1,,,,,,,,,,,,,TM9SF2,,,,TRIO,,MAP3K14,,,,,,,,,,,,,,,,,,,ZFP64,,,,,
,,SPHK1,,,,,PLPP5,,,,,,,SMC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHMT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYO5A,,SYF2,,,,,,,,,,,,SLC36A4,,,,,,,,,,,,,,,,,,,,,,,,TBX21,SELENOK,,,ST18,,,,,,,,,TBRG1,,,,,,,,,,,,,TMC6,,,,TRIOBP,,MAP3K2,,,,,,,,,,,,,,,,,,,ZFP91,,,,,
