"prlnkid_ser","prlnkid_pla"
"SER00347G","PLA00347G"
"SER00348G","PLA00348G"
"SER00349G","PLA00349G"
"SER00350G","PLA00350G"
"SER00351G","PLA00351G"
"SER00352G","PLA00352G"
"SER00353G","PLA00353G"
"SER00354G","PLA00354G"
"SER00355G","PLA00355G"
"SER00356G","PLA00356G"
"SER00357G","PLA00357G"
"SER00359G","PLA00359G"
"SER00360G","PLA00360G"
"SER00361G","PLA00361G"
"SER00362G","PLA00362G"
"SER00363G","PLA00363G"
"SER00364G","PLA00364G"
"SER00365G","PLA00365G"
"SER00366G","PLA00366G"
"SER00367G","PLA00367G"
"SER00368G","PLA00368G"
"SER00369G","PLA00369G"
"SER00370G","PLA00370G"
"SER00371G","PLA00371G"
"SER00372G","PLA00372G"
"SER00373G","PLA00373G"
"SER00374G","PLA00374G"
"SER00375G","PLA00375G"
"SER00376G","PLA00376G"
"SER00377G","PLA00377G"
"SER00378G","PLA00378G"
"SER00379G","PLA00379G"
"SER00380G","PLA00380G"
"SER00381G","PLA00381G"
"SER00382G","PLA00382G"
"SER00383G","PLA00383G"
"SER00384G","PLA00384G"
"SER00385G","PLA00385G"
"SER00386G","PLA00386G"
"SER00387G","PLA00387G"
"SER00388G","PLA00388G"
"SER00389G","PLA00389G"
"SER00390G","PLA00390G"
"SER00391G","PLA00391G"
"SER00392G","PLA00392G"
"SER00393G","PLA00393G"
"SER00394G","PLA00394G"
"SER00395G","PLA00395G"
"SER00396G","PLA00396G"
"SER00397G","PLA00397G"
"SER00398G","PLA00398G"
"SER00399G","PLA00399G"
"SER00400G","PLA00400G"
"SER00401G","PLA00401G"
"SER00402G","PLA00402G"
"SER00403G","PLA00403G"
"SER00404G","PLA00404G"
"SER00405G","PLA00405G"
"SER00406G","PLA00406G"
"SER00407G","PLA00407G"
"SER00408G","PLA00408G"
"SER00409G","PLA00409G"
"SER00410G","PLA00410G"
"SER00411G","PLA00411G"
"SER00412G","PLA00412G"
"SER00413G","PLA00413G"
"SER00414G","PLA00414G"
"SER00415G","PLA00415G"
"SER00416G","PLA00416G"
"SER00417G","PLA00417G"
"SER00418G","PLA00418G"
"SER00419G","PLA00419G"
"SER00420G","PLA00420G"
"SER00421G","PLA00421G"
"SER00422G","PLA00422G"
"SER00423G","PLA00423G"
"SER00424G","PLA00424G"
"SER00425G","PLA00425G"
"SER00426G","PLA00426G"
"SER00427G","PLA00427G"
"SER00428G","PLA00428G"
"SER00429G","PLA00429G"
"SER00430G","PLA00430G"
"SER00431G","PLA00431G"
"SER00432G","PLA00432G"
"SER00433G","PLA00433G"
"SER00434G","PLA00434G"
"SER00435G","PLA00435G"
"SER00436G","PLA00436G"
"SER00437G","PLA00437G"
"SER00438G","PLA00438G"
"SER00439G","PLA00439G"
"SER00440G","PLA00440G"
"SER00441G","PLA00441G"
"SER00443G","PLA00443G"
"SER00444G","PLA00444G"
"SER00445G","PLA00445G"
"SER00446G","PLA00446G"
"SER00447G","PLA00447G"
"SER00448G","PLA00448G"
"SER00449G","PLA00449G"
"SER00450G","PLA00450G"
"SER00451G","PLA00451G"
"SER00452G","PLA00452G"
"SER00453G","PLA00453G"
"SER00455G","PLA00455G"
"SER00456G","PLA00456G"
"SER00457G","PLA00457G"
"SER00459G","PLA00459G"
"SER00460G","PLA00460G"
"SER00461G","PLA00461G"
"SER00462G","PLA00462G"
"SER00463G","PLA00463G"
"SER00464G","PLA00464G"
"SER00465G","PLA00465G"
"SER00466G","PLA00466G"
"SER00467G","PLA00467G"
"SER00468G","PLA00468G"
"SER00469G","PLA00469G"
"SER00470G","PLA00470G"
"SER00471G","PLA00471G"
"SER00472G","PLA00472G"
"SER00473G","PLA00473G"
"SER00474G","PLA00474G"
"SER00475G","PLA00475G"
"SER00476G","PLA00476G"
"SER00477G","PLA00477G"
"SER00478G","PLA00478G"
"SER00479G","PLA00479G"
"SER00480G","PLA00480G"
"SER00481G","PLA00481G"
"SER00482G","PLA00482G"
"SER00483G","PLA00483G"
"SER00484G","PLA00484G"
"SER00485G","PLA00485G"
"SER00486G","PLA00286G"
"SER00486G","PLA00486G"
"SER00487G","PLA00487G"
"SER00488G","PLA00488G"
"SER00489G","PLA00489G"
"SER00490G","PLA00490G"
"SER00491G","PLA00491G"
"SER00492G","PLA00492G"
"SER00493G","PLA00493G"
"SER00494G","PLA00494G"
"SER00495G","PLA00495G"
"SER00496G","PLA00496G"
"SER00497G","PLA00497G"
